,iata_code,latitude,longitude
284,ANE,47.560211,-0.312128
285,ANF,-23.444478,-70.4451
286,ANG,45.729475,0.219153
287,ANH,-8.983,160.5
288,ANI,61.581597,-159.543043
289,ANJ,-2.85,13.817
290,ANK,39.949831,32.688622
291,ANL,-11.471389,16.710833
292,ANM,-14.999411,50.320233
293,ANN,55.042437,-131.572232
294,ANO,-16.181944,39.944722
295,ANP,38.942878,-76.568399
296,ANQ,41.639698,-85.083493
297,ANR,51.189444,4.460278
298,ANS,-13.706408,-73.350378
299,ANT,0.0,0.0
300,ANU,17.136667,-61.792778
301,ANV,62.647328,-160.190067
302,ANW,42.579228,-99.992967
303,ANX,69.2925,16.144167
304,ANY,37.158522,-98.079647
305,ANZ,-25.034,132.276
306,AOA,-9.017,146.8
307,AOB,-4.917,144.65
308,AOC,50.981817,12.506361
309,AOD,11.467,19.283
310,AOE,39.811666666667,30.528611111111
311,AOG,41.105278,122.853889
312,AOH,40.707478,-84.027078
313,AOI,43.616342,13.362319
314,AOJ,40.734722,140.690833
315,AOK,35.421408,27.146008
316,AOL,-29.689425,-57.152078
317,AON,-6.3,146.017
318,AOO,40.296361,-78.320028
319,AOR,6.189667,100.398183
320,AOS,57.466666666667,-153.83333333333
321,AOT,45.738456,7.368719
322,AOU,14.8,106.833
323,APA,39.570111,-104.849306
324,APB,-14.733,-68.417
325,APC,38.213194,-122.280694
326,APE,-15.35,-75.167
327,APF,26.152287,-81.775793
328,APG,39.466219,-76.168808
329,APH,38.068833,-77.318333
330,API,4.076069,-73.562731
331,APK,-15.573611,-146.415278
332,APL,-15.105611,39.2818
333,APN,45.078083,-83.560306
334,APO,7.811817,-76.716325
335,APP,-8.967,148.1
336,APQ,-9.775358,-36.6292
337,APR,-4.7,142.533
338,APS,-16.362336,-48.927053
339,APT,35.060678,-85.585317
340,APU,-23.609511,-51.384486
341,APV,34.575333,-117.186194
342,APW,-13.829667,-171.997167
343,APX,-23.352856,-51.491656
344,APY,-9.083605,-45.950554
345,APZ,-38.9755,-70.113581
346,AQA,-21.812,-48.133028
347,AQB,15.012222,-91.150556
348,AQG,30.582222,117.050278
349,AQI,28.335192,46.125069
350,AQJ,29.611619,35.018067
351,AQM,-10.177778,-62.826111
352,AQP,-16.341072,-71.583083
353,AQS,-16.45,179.733
354,AQY,60.966096,-149.125789
355,ARA,30.037758,-91.883896
356,ARB,42.222984,-83.745607
357,ARC,68.114669,-145.579415
